filename,homogeneity_d1_a0,homogeneity_d1_a45,homogeneity_d1_a90,homogeneity_d1_a135,homogeneity_d2_a0,homogeneity_d2_a45,homogeneity_d2_a90,homogeneity_d2_a135,energy_d1_a0,energy_d1_a45,energy_d1_a90,energy_d1_a135,energy_d2_a0,energy_d2_a45,energy_d2_a90,energy_d2_a135,correlation_d1_a0,correlation_d1_a45,correlation_d1_a90,correlation_d1_a135,correlation_d2_a0,correlation_d2_a45,correlation_d2_a90,correlation_d2_a135,entropy_d1_a0,entropy_d1_a45,entropy_d1_a90,entropy_d1_a135,entropy_d2_a0,entropy_d2_a45,entropy_d2_a90,entropy_d2_a135,name
Albert (19).jpg,0.915780432,0.902775249,0.931718605,0.904409668,0.873917203,0.902775249,0.898224863,0.904409668,0.383163939,0.37456121,0.387596643,0.373741227,0.359766179,0.37456121,0.365568414,0.373741227,0.95156353,0.942870056,0.967932795,0.946623252,0.911761567,0.942870056,0.949018293,0.946623252,2.356927054,2.417746357,2.274925126,2.409450671,2.544705989,2.417746357,2.431039282,2.409450671,Albert
Albert (2).jpg,0.935245156,0.917505777,0.939956649,0.915384195,0.89467335,0.917505777,0.902831617,0.915384195,0.471396805,0.459263609,0.471529304,0.456979099,0.447313905,0.459263609,0.444671843,0.456979099,0.953011207,0.942687668,0.964697123,0.935077487,0.900564663,0.942687668,0.936301046,0.935077487,1.997042674,2.073936021,1.960706424,2.091512661,2.18354416,2.073936021,2.124419557,2.091512661,Albert
Albert (20).jpg,0.898848264,0.883566573,0.913953247,0.879471955,0.842778951,0.883566573,0.870840375,0.879471955,0.387546513,0.380755987,0.399611053,0.377520873,0.354178355,0.380755987,0.376312238,0.377520873,0.948709807,0.939445166,0.961997622,0.936116424,0.902905983,0.939445166,0.934526652,0.936116424,2.393103575,2.452803772,2.307343148,2.471460308,2.630782647,2.452803772,2.488387854,2.471460308,Albert
Albert (21).jpg,0.868087055,0.851482751,0.896474047,0.848343774,0.812551923,0.851482751,0.850446686,0.848343774,0.314907442,0.306127657,0.326496741,0.30447332,0.288918729,0.306127657,0.302928435,0.30447332,0.927220897,0.916249372,0.959752412,0.918049587,0.865324381,0.916249372,0.929759029,0.918049587,2.71519246,2.780365712,2.574744052,2.791390293,2.938849112,2.780365712,2.772140728,2.791390293,Albert
Albert (22).jpg,0.894669173,0.880876685,0.906718939,0.882777123,0.859940106,0.880876685,0.869815703,0.882777123,0.380773971,0.373480325,0.386073707,0.374324756,0.362044372,0.373480325,0.3644043,0.374324756,0.938295611,0.92364572,0.945695691,0.925590785,0.904863054,0.92364572,0.911342693,0.925590785,2.381963253,2.433857786,2.315730941,2.426337428,2.529638345,2.433857786,2.464351543,2.426337428,Albert
Albert (23).jpg,0.916425428,0.893861988,0.923766428,0.898746167,0.873607464,0.893861988,0.884234607,0.898746167,0.403586823,0.391196041,0.408687549,0.392259774,0.378140276,0.391196041,0.382907593,0.392259774,0.951343302,0.929155632,0.952282543,0.935166609,0.907074635,0.929155632,0.917659944,0.935166609,2.252224276,2.357105904,2.217556816,2.331726357,2.445373692,2.357105904,2.392974236,2.331726357,Albert
Albert (24).jpg,0.902729619,0.87509177,0.902641018,0.872511418,0.859944747,0.87509177,0.852484553,0.872511418,0.364880637,0.350676812,0.362828505,0.348779674,0.342010511,0.350676812,0.336154678,0.348779674,0.953248988,0.933452191,0.956988673,0.93749417,0.919910443,0.933452191,0.921985233,0.93749417,2.469483063,2.589585197,2.469780797,2.595947566,2.649232478,2.589585197,2.679644217,2.595947566,Albert
Albert (25).jpg,0.896422539,0.870144808,0.89990845,0.867992843,0.853054495,0.870144808,0.849432818,0.867992843,0.373709562,0.359096882,0.371693062,0.358646324,0.350454508,0.359096882,0.345416469,0.358646324,0.966032807,0.952770483,0.968860918,0.954139973,0.940511558,0.952770483,0.941252267,0.954139973,2.426039361,2.537052221,2.415361572,2.537233131,2.603720174,2.537052221,2.617238191,2.537233131,Albert
Albert (26).jpg,0.896617803,0.871483131,0.904461671,0.871531308,0.847806774,0.871483131,0.851723485,0.871531308,0.389321226,0.378150093,0.39336435,0.376766076,0.365663318,0.378150093,0.366604237,0.376766076,0.961470512,0.943942332,0.964152886,0.944951503,0.924550488,0.943942332,0.928398194,0.944951503,2.345304154,2.445457995,2.312310723,2.448053748,2.537727824,2.445457995,2.525957271,2.448053748,Albert
Albert (27).jpg,0.893242104,0.867482445,0.896593308,0.865458152,0.841095732,0.867482445,0.847896142,0.865458152,0.363987899,0.351624462,0.365062192,0.34995545,0.339606809,0.351624462,0.340812701,0.34995545,0.965185196,0.951527856,0.967913322,0.954178135,0.934923008,0.951527856,0.940065496,0.954178135,2.455625882,2.558750642,2.444604374,2.565183124,2.653342399,2.558750642,2.643131198,2.565183124,Albert
Albert (28).jpg,0.908063991,0.895138657,0.925799399,0.890754912,0.879498262,0.895138657,0.89245023,0.890754912,0.439896299,0.430036581,0.443768089,0.427653175,0.421890182,0.430036581,0.420426108,0.427653175,0.892878145,0.863785141,0.919183645,0.8616556,0.834534189,0.863785141,0.865669397,0.8616556,2.143525531,2.20924364,2.07447583,2.226264296,2.265490335,2.20924364,2.234076339,2.226264296,Albert
Albert (29).jpg,0.882593409,0.863968305,0.892373857,0.866778734,0.841417016,0.863968305,0.853194523,0.866778734,0.334373866,0.325236571,0.341013929,0.325521648,0.310529987,0.325236571,0.319735347,0.325521648,0.958528053,0.946489772,0.96336406,0.950547117,0.928459895,0.946489772,0.940767782,0.950547117,2.543905242,2.624118432,2.501136477,2.610042773,2.720699725,2.624118432,2.662057657,2.610042773,Albert
Albert (3).jpg,0.910569881,0.885490204,0.917017984,0.894102021,0.865555758,0.885490204,0.871068584,0.894102021,0.404030706,0.389221853,0.40817779,0.394696692,0.374431915,0.389221853,0.380807766,0.394696692,0.944476242,0.923733817,0.948837196,0.929400994,0.905876008,0.923733817,0.910230324,0.929400994,2.277689663,2.384335041,2.243187417,2.348805212,2.474684977,2.384335041,2.439610519,2.348805212,Albert
Albert (30).jpg,0.855395592,0.843293003,0.868122233,0.832955303,0.812728907,0.843293003,0.827527209,0.832955303,0.350804916,0.347170576,0.359491134,0.341438939,0.327969804,0.347170576,0.339929969,0.341438939,0.941077563,0.933437903,0.953190189,0.92883942,0.898664266,0.933437903,0.926012721,0.92883942,2.541716629,2.582247363,2.479986756,2.609648351,2.708233792,2.582247363,2.623854653,2.609648351,Albert
Albert (31).jpg,0.9080946,0.88826127,0.915259071,0.888533699,0.869454344,0.88826127,0.876412517,0.888533699,0.505133742,0.494664734,0.504688028,0.494721974,0.483105997,0.494664734,0.482726042,0.494721974,0.932169737,0.904285521,0.937099449,0.911652888,0.876914993,0.904285521,0.885005703,0.911652888,1.975721402,2.057557147,1.95816427,2.048366487,2.125598499,2.057557147,2.117782943,2.048366487,Albert
Albert (32).jpg,0.883708915,0.864198867,0.910386029,0.865512925,0.831557868,0.864198867,0.868560172,0.865512925,0.384159128,0.372311057,0.393526462,0.371528515,0.359695518,0.372311057,0.367592778,0.371528515,0.898384405,0.879783673,0.946243287,0.881547426,0.81906279,0.879783673,0.912308686,0.881547426,2.457583657,2.537364594,2.334811112,2.532825913,2.653673526,2.537364594,2.513766591,2.532825913,Albert
Albert (33).jpg,0.890319954,0.869672345,0.905826126,0.868550479,0.839844031,0.869672345,0.859350928,0.868550479,0.305302472,0.294019565,0.314439029,0.293996766,0.279777941,0.294019565,0.289843421,0.293996766,0.965439408,0.955927384,0.972792057,0.955711654,0.935730482,0.955927384,0.950913427,0.955711654,2.699693936,2.789438042,2.630114088,2.796314437,2.906066204,2.789438042,2.837786745,2.796314437,Albert
Albert (34).jpg,0.885376649,0.865608075,0.908874913,0.869019829,0.835098383,0.865608075,0.867091709,0.869019829,0.312190349,0.301527932,0.325427409,0.302924532,0.285790401,0.301527932,0.301933094,0.302924532,0.962935989,0.952198221,0.971634968,0.955790612,0.93124109,0.952198221,0.952579753,0.955790612,2.698455563,2.784561198,2.595586763,2.766778889,2.908433531,2.784561198,2.781762864,2.766778889,Albert
Albert (35).jpg,0.904436642,0.882368399,0.91160226,0.885386234,0.862848013,0.882368399,0.868170943,0.885386234,0.372704675,0.359700381,0.373741915,0.361062206,0.350469416,0.359700381,0.349098203,0.361062206,0.966737966,0.955370827,0.97029198,0.958619966,0.944140785,0.955370827,0.948163635,0.958619966,2.357390148,2.45543848,2.332447696,2.439330571,2.526276033,2.45543848,2.514676727,2.439330571,Albert
Albert (36).jpg,0.926242841,0.903235052,0.92217834,0.900188538,0.887542926,0.903235052,0.879187875,0.900188538,0.395105708,0.383386037,0.394237065,0.381741319,0.37251319,0.383386037,0.371295325,0.381741319,0.976747423,0.965628086,0.9742986,0.964086953,0.956233578,0.965628086,0.952133616,0.964086953,2.232613374,2.337244669,2.246561662,2.347879843,2.412488476,2.337244669,2.431024643,2.347879843,Albert
Albert (37).jpg,0.953500246,0.941230082,0.953924705,0.93990328,0.922048611,0.941230082,0.925468677,0.93990328,0.437274621,0.429553569,0.435803301,0.429619582,0.420128178,0.429553569,0.4191422,0.429619582,0.978228221,0.971963884,0.978508472,0.970142735,0.960652058,0.971963884,0.962146897,0.970142735,2.074902102,2.14070461,2.076422263,2.146984845,2.232065034,2.14070461,2.227484327,2.146984845,Albert
Albert (38).jpg,0.876947878,0.857873721,0.892530012,0.84744617,0.827752527,0.857873721,0.834805072,0.84744617,0.31380269,0.303401343,0.323179251,0.297716077,0.287886478,0.303401343,0.291439108,0.297716077,0.955244552,0.944062454,0.960814471,0.940088706,0.927250808,0.944062454,0.929599901,0.940088706,2.636049924,2.715698712,2.575937189,2.756100647,2.826951537,2.715698712,2.806354484,2.756100647,Albert
Albert (39).jpg,0.906461325,0.881361388,0.915177605,0.884329651,0.859729601,0.881361388,0.869414116,0.884329651,0.383155186,0.368868559,0.388135605,0.370505326,0.358241029,0.368868559,0.361534372,0.370505326,0.94991914,0.928977635,0.955715874,0.934802494,0.902127246,0.928977635,0.91421948,0.934802494,2.301267367,2.409608739,2.252511032,2.391662563,2.503627911,2.409608739,2.45545557,2.391662563,Albert
Albert (4).jpg,0.913166541,0.88785527,0.916621555,0.888916229,0.866061637,0.88785527,0.86730368,0.888916229,0.362174459,0.346392093,0.364468161,0.345901139,0.330930104,0.346392093,0.333221483,0.345901139,0.95703107,0.941117126,0.95711962,0.940878861,0.927170597,0.941117126,0.922519276,0.940878861,2.371862298,2.481588197,2.353571825,2.479786444,2.577256403,2.481588197,2.565934421,2.479786444,Albert
Albert (40).jpg,0.931367965,0.905245435,0.917892036,0.903519054,0.90031131,0.905245435,0.871739762,0.903519054,0.42056573,0.406092068,0.414055572,0.405956601,0.400336427,0.406092068,0.388543839,0.405956601,0.971278788,0.95523247,0.9636186,0.956450676,0.953090705,0.95523247,0.932479799,0.956450676,2.121167355,2.243744013,2.182627658,2.244472602,2.270646614,2.243744013,2.376202478,2.244472602,Albert
Albert (41).jpg,0.928923556,0.893409752,0.910901251,0.896346081,0.892146594,0.893409752,0.8593147,0.896346081,0.386779179,0.363847386,0.374672593,0.365436654,0.361918459,0.363847386,0.342415274,0.365436654,0.965031297,0.940707945,0.955058092,0.947793964,0.943917858,0.940707945,0.916139188,0.947793964,2.229115162,2.398985888,2.320720913,2.383282529,2.405172835,2.398985888,2.541011571,2.383282529,Albert
Albert (42).jpg,0.895271499,0.875780357,0.895150666,0.875241415,0.864590169,0.875780357,0.851087488,0.875241415,0.379494424,0.368751788,0.378177098,0.366737067,0.362041216,0.368751788,0.351993257,0.366737067,0.938634884,0.916980585,0.939048252,0.925739813,0.90964833,0.916980585,0.901458832,0.925739813,2.388103683,2.474119617,2.386249218,2.468839101,2.518377891,2.474119617,2.565393783,2.468839101,Albert
Albert (43).jpg,0.906523397,0.882975661,0.91476297,0.882805081,0.853560176,0.882975661,0.863221575,0.882805081,0.332084056,0.318650655,0.335846194,0.318765189,0.304683756,0.318650655,0.307631094,0.318765189,0.959490889,0.942483736,0.962392371,0.941489827,0.910874551,0.942483736,0.924553852,0.941489827,2.539320001,2.647420175,2.492828639,2.643697292,2.778574452,2.647420175,2.721519924,2.643697292,Albert
Albert (44).jpg,0.914550339,0.889642549,0.91353034,0.891427865,0.869091048,0.889642549,0.864952358,0.891427865,0.360123687,0.347063387,0.361066045,0.347686684,0.336243121,0.347063387,0.335663188,0.347686684,0.962080628,0.945951692,0.961295946,0.945048886,0.918882549,0.945951692,0.924458895,0.945048886,2.39375102,2.508849258,2.391777287,2.49746578,2.609049469,2.508849258,2.606196756,2.49746578,Albert
Albert (45).jpg,0.912851078,0.892481515,0.921318107,0.89400692,0.863835718,0.892481515,0.880987169,0.89400692,0.400578861,0.389728437,0.407525351,0.390978664,0.372710407,0.389728437,0.384593199,0.390978664,0.949882991,0.92998576,0.954457121,0.934414696,0.90053323,0.92998576,0.912706786,0.934414696,2.282182894,2.372317562,2.227529784,2.360694939,2.496760475,2.372317562,2.407349398,2.360694939,Albert
Albert (46).jpg,0.901935937,0.879681205,0.906503814,0.880421144,0.853394724,0.879681205,0.859594517,0.880421144,0.360612364,0.347458458,0.361351947,0.34711447,0.334742146,0.347458458,0.333198589,0.34711447,0.953584748,0.93599382,0.953131402,0.934187694,0.910196377,0.93599382,0.910510744,0.934187694,2.471529702,2.575834141,2.455445464,2.568779068,2.688839635,2.575834141,2.666072627,2.568779068,Albert
Albert (47).jpg,0.927518165,0.910447638,0.937071199,0.915238473,0.888132994,0.910447638,0.901077079,0.915238473,0.383841558,0.372835002,0.386419954,0.375277212,0.362963657,0.372835002,0.363654963,0.375277212,0.96657268,0.954122006,0.973648729,0.958571033,0.926880386,0.954122006,0.946631739,0.958571033,2.28650555,2.371742978,2.23790098,2.347305988,2.474856196,2.371742978,2.416704529,2.347305988,Albert
Albert (48).jpg,0.932639894,0.909422456,0.928334255,0.907465481,0.895388468,0.909422456,0.880638274,0.907465481,0.465034808,0.451394046,0.462603407,0.450742445,0.438886002,0.451394046,0.433200423,0.450742445,0.956373541,0.930067631,0.948223645,0.932440488,0.920574445,0.930067631,0.893665152,0.932440488,1.991399066,2.089489039,2.009257738,2.098541709,2.160446243,2.089489039,2.205695129,2.098541709,Albert
Albert (49).jpg,0.883023084,0.85788257,0.89430181,0.860688426,0.843108845,0.85788257,0.841454007,0.860688426,0.359758774,0.346549722,0.363371233,0.347088617,0.336553793,0.346549722,0.334666291,0.347088617,0.938503791,0.920294953,0.947620469,0.924029872,0.907019655,0.920294953,0.90817874,0.924029872,2.448742519,2.544265562,2.402993152,2.536389444,2.608908091,2.544265562,2.608460057,2.536389444,Albert
Albert (5).jpg,0.881334313,0.859422742,0.900018455,0.86427334,0.826121402,0.859422742,0.851532957,0.86427334,0.316722493,0.304175246,0.326693971,0.307481209,0.286814239,0.304175246,0.298814566,0.307481209,0.94844856,0.935031234,0.961675581,0.939184713,0.898100454,0.935031234,0.931923494,0.939184713,2.660807616,2.754517753,2.571546703,2.729439281,2.893907904,2.754517753,2.780076923,2.729439281,Albert
Albert (50).jpg,0.896245368,0.87784542,0.903383004,0.876778765,0.850572962,0.87784542,0.859960054,0.876778765,0.327679643,0.317837502,0.331631389,0.317166363,0.303719766,0.317837502,0.307302163,0.317166363,0.953027121,0.941547391,0.961833617,0.943384241,0.909655256,0.941547391,0.934159675,0.943384241,2.553764257,2.62673336,2.50349282,2.628281181,2.756800031,2.62673336,2.687737069,2.628281181,Albert
Albert (6).jpg,0.912700107,0.888482958,0.909898608,0.892213963,0.866618992,0.888482958,0.862226004,0.892213963,0.340138884,0.326743577,0.340782467,0.330074691,0.313252136,0.326743577,0.316488122,0.330074691,0.965186063,0.951206162,0.964620853,0.95376611,0.933179647,0.951206162,0.932903566,0.95376611,2.467031136,2.576724758,2.468301612,2.551641328,2.677192733,2.576724758,2.669649952,2.551641328,Albert
Albert (7).jpg,0.91121947,0.878358899,0.910092424,0.885729688,0.856971052,0.878358899,0.852680359,0.885729688,0.369557877,0.350067969,0.370133071,0.355924395,0.337042872,0.350067969,0.338486512,0.355924395,0.950140738,0.925753746,0.955579881,0.936003012,0.892385903,0.925753746,0.910494409,0.936003012,2.391721822,2.539362782,2.380990372,2.496176889,2.639050844,2.539362782,2.623211612,2.496176889,Albert
Albert (8).jpg,0.909620534,0.882966742,0.91487306,0.886558569,0.859384595,0.882966742,0.863864452,0.886558569,0.35729324,0.341725783,0.362035198,0.343671215,0.325208576,0.341725783,0.331562155,0.343671215,0.956371212,0.939154769,0.95905669,0.941954826,0.920933961,0.939154769,0.924050623,0.941954826,2.426721218,2.542398691,2.393015886,2.525269438,2.650146087,2.542398691,2.614899893,2.525269438,Albert
Albert (9).jpg,0.905238804,0.883462379,0.910849931,0.883896211,0.856605162,0.883462379,0.864611782,0.883896211,0.335670844,0.324473312,0.341044278,0.324542031,0.30632276,0.324473312,0.317597208,0.324542031,0.961446264,0.950389238,0.96589018,0.951607575,0.930446633,0.950389238,0.939825799,0.951607575,2.508536766,2.600734349,2.467448383,2.594327453,2.726951429,2.600734349,2.65975381,2.594327453,Albert
Alvin (1).jpg,0.897317681,0.873166191,0.904024605,0.872465763,0.841546192,0.873166191,0.857019915,0.872465763,0.361059458,0.350102208,0.365382061,0.350134575,0.333461809,0.350102208,0.343759501,0.350134575,0.953972991,0.942730446,0.966383566,0.939927041,0.903787823,0.942730446,0.938793029,0.939927041,2.519612508,2.611843651,2.468380557,2.619138974,2.754622767,2.611843651,2.655966598,2.619138974,Alvin
Alvin (10).jpg,0.88372328,0.868089291,0.897351622,0.862369065,0.827930161,0.868089291,0.852099514,0.862369065,0.302889545,0.295601868,0.310974239,0.292417165,0.274334419,0.295601868,0.289126073,0.292417165,0.956641818,0.951094019,0.970048466,0.945939511,0.915668256,0.951094019,0.94853421,0.945939511,2.754904384,2.812083491,2.673296163,2.847162917,2.994292709,2.812083491,2.86424968,2.847162917,Alvin
Alvin (11).jpg,0.835729848,0.802620874,0.847817643,0.798340348,0.771278349,0.802620874,0.785006909,0.798340348,0.300519792,0.282776724,0.301207333,0.281220264,0.269771784,0.282776724,0.271358488,0.281220264,0.877053205,0.845492255,0.917682074,0.842954593,0.814439024,0.845492255,0.855154753,0.842954593,2.837643636,2.962834842,2.779556274,2.975976988,3.061800985,2.962834842,3.015512055,2.975976988,Alvin
Alvin (12).jpg,0.877556449,0.85746281,0.881831601,0.851051151,0.826707714,0.85746281,0.837075142,0.851051151,0.322174608,0.31128305,0.323067745,0.308607911,0.297553168,0.31128305,0.300732033,0.308607911,0.952269066,0.944130771,0.95812868,0.937723093,0.919848087,0.944130771,0.930752653,0.937723093,2.720362769,2.793338038,2.689189076,2.829690347,2.925107096,2.793338038,2.872679485,2.829690347,Alvin
Alvin (13).jpg,0.840135587,0.808333537,0.851085692,0.803702763,0.77756049,0.808333537,0.789751269,0.803702763,0.308514166,0.290915701,0.309082492,0.289093853,0.277969388,0.290915701,0.278013321,0.289093853,0.884585268,0.856701554,0.920940399,0.853574914,0.819853137,0.856701554,0.859659879,0.853574914,2.805831488,2.926208691,2.755933758,2.943046098,3.026497413,2.926208691,2.990917681,2.943046098,Alvin
Alvin (14).jpg,0.882260053,0.85343133,0.885224867,0.853757385,0.827487279,0.85343133,0.830908867,0.853757385,0.319902343,0.302905304,0.319445431,0.303753661,0.292140982,0.302905304,0.291189793,0.303753661,0.94335466,0.919600966,0.948357203,0.922998749,0.889298253,0.919600966,0.904554501,0.922998749,2.696390273,2.822540003,2.67591674,2.816970138,2.93098292,2.822540003,2.903529919,2.816970138,Alvin
Alvin (15).jpg,0.879174002,0.845546714,0.878995629,0.845001029,0.821726963,0.845546714,0.82152991,0.845001029,0.3148481,0.295179348,0.310947965,0.294864758,0.285169192,0.295179348,0.280037019,0.294864758,0.940157284,0.919039082,0.950040011,0.921005734,0.882179599,0.919039082,0.90967368,0.921005734,2.711768824,2.850585242,2.70462613,2.852779213,2.949046836,2.850585242,2.937124324,2.852779213,Alvin
Alvin (16).jpg,0.892841738,0.859040578,0.891029028,0.869402799,0.840010095,0.859040578,0.840681084,0.869402799,0.319492655,0.300631131,0.317823888,0.306240093,0.29028724,0.300631131,0.291249294,0.306240093,0.961196547,0.942367335,0.960670628,0.949736653,0.929285363,0.942367335,0.929638966,0.949736653,2.640264792,2.786417018,2.643749649,2.737535474,2.864581877,2.786417018,2.857785698,2.737535474,Alvin
Alvin (17).jpg,0.903773457,0.878212886,0.891160122,0.873752279,0.863617443,0.878212886,0.844845997,0.873752279,0.406375413,0.391081247,0.399216358,0.38987309,0.382486047,0.391081247,0.369818668,0.38987309,0.930622855,0.890370381,0.901759649,0.881030319,0.886978265,0.890370381,0.834011831,0.881030319,2.314935729,2.422107769,2.37196631,2.449295978,2.482425876,2.422107769,2.568231741,2.449295978,Alvin
Alvin (18).jpg,0.903561261,0.880581056,0.913003536,0.877600978,0.848077987,0.880581056,0.867258146,0.877600978,0.394374186,0.380052995,0.401672573,0.377652041,0.358486966,0.380052995,0.371848822,0.377652041,0.928056127,0.896783151,0.925275382,0.890120076,0.857576242,0.896783151,0.87042876,0.890120076,2.287253965,2.390273451,2.244318287,2.402516108,2.525221906,2.390273451,2.446043616,2.402516108,Alvin
Alvin (19).jpg,0.933741471,0.917708386,0.938379675,0.915420777,0.896915345,0.917708386,0.907134104,0.915420777,0.455667397,0.443502023,0.453895321,0.443089546,0.433516092,0.443502023,0.432235455,0.443089546,0.963401124,0.955279023,0.9730477,0.954348289,0.927446908,0.955279023,0.95478365,0.954348289,2.08542149,2.15680186,2.052177311,2.168781264,2.246483176,2.15680186,2.19330076,2.168781264,Alvin
Alvin (2).jpg,0.891846289,0.868599419,0.90058337,0.867432365,0.832588069,0.868599419,0.853521831,0.867432365,0.370091665,0.357012184,0.375921405,0.356267816,0.336328579,0.357012184,0.349139533,0.356267816,0.942974341,0.928384627,0.954404806,0.926574966,0.892468066,0.928384627,0.919015903,0.926574966,2.468134454,2.563115208,2.420066361,2.57162005,2.708057183,2.563115208,2.621192356,2.57162005,Alvin
Alvin (20).jpg,0.974624754,0.961993924,0.977300689,0.971169942,0.951109871,0.961993924,0.956194196,0.971169942,0.658129672,0.646074659,0.661514587,0.65597506,0.633995592,0.646074659,0.640254212,0.65597506,0.934736008,0.901515946,0.941209715,0.925293499,0.874208688,0.901515946,0.885684779,0.925293499,1.158165688,1.23171282,1.138399911,1.176011387,1.291285192,1.23171282,1.260307965,1.176011387,Alvin
Alvin (21).jpg,0.893106109,0.87107452,0.90714918,0.874278013,0.834708889,0.87107452,0.860886104,0.874278013,0.37201725,0.359353566,0.378756442,0.362782522,0.34231461,0.359353566,0.351391127,0.362782522,0.929282026,0.911775191,0.948023423,0.913205794,0.856742891,0.911775191,0.909585734,0.913205794,2.496163292,2.583060369,2.413723251,2.574314569,2.742636726,2.583060369,2.61209984,2.574314569,Alvin
